id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"1604-Cydney-Ln,-Anna,-TX-75409","1604 Cydney Ln, Anna, TX 75409",75409,Single Family,New Construction,5,4,3035.0,8712,2026.0,429990.0,9.0,141.68,0.3484,5.0,-8.51,4.0,91.9,19.8,91.0,66.5,-18.9,455
"1636-Arches-Rd,-Anna,-TX-75409","1636 Arches Rd, Anna, TX 75409",75409,Single Family,New Construction,4,2.5,2357.0,,2026.0,355588.0,13.0,150.86,,2.0,-4.18,1.0,80.9,38.0,82.0,66.1,-13.7,455
"744-Santa-Lucia-Dr,-Anna,-TX-75409","744 Santa Lucia Dr, Anna, TX 75409",75409,Single Family,New Construction,4,3.5,2819.0,,0.0,419000.0,11.0,148.63,,6.0,-8.67,4.0,85.1,27.0,91.6,66.1,-14.9,455
"2114-Cedar-Trl,-Anna,-TX-75409","2114 Cedar Trl, Anna, TX 75409",75409,Single Family,Standard,4,3,2523.0,7405,2012.0,379900.0,86.0,150.57,0.3407,1.0,0.0,0.0,81.3,80.0,6.8,66.0,-13.8,455
"3137-Bent-Creek-Dr,-Anna,-TX-75409","3137 Bent Creek Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,2041.0,8625,2021.0,325000.0,148.0,159.24,0.2366,1.0,0.0,0.0,70.5,93.8,6.8,66.0,-8.9,455
"3301-Greymoore-Dr,-Anna,-TX-75409","3301 Greymoore Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2724.0,7231,2022.0,375000.0,40.0,137.67,0.3767,1.0,0.0,0.0,94.7,62.4,6.8,65.8,-21.2,455
"1314-Elizabeth-St,-Anna,-TX-75409","1314 Elizabeth St, Anna, TX 75409",75409,Single Family,Standard,4,2,2201.0,5968,2021.0,349000.0,139.0,158.56,0.3688,1.0,0.0,0.0,71.2,92.3,6.8,65.7,-9.2,455
"1409-Brentfield-Dr,-Anna,-TX-75409","1409 Brentfield Dr, Anna, TX 75409",75409,Single Family,Standard,5,4,3569.0,7971,2021.0,540000.0,89.0,151.3,0.4477,1.0,0.0,0.0,79.3,81.3,6.8,65.5,-13.4,455
"821-Honeywell-Dr,-Anna,-TX-75409","821 Honeywell Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2736.0,7405,2007.0,348900.0,28.0,127.52,0.3695,1.0,0.0,0.0,98.0,57.1,6.8,65.5,-27.0,455
"2110-Spruce-St,-Anna,-TX-75409","2110 Spruce St, Anna, TX 75409",75409,Single Family,Standard,3,2,1686.0,6098,2013.0,264500.0,125.0,156.88,0.2765,1.0,0.0,0.0,73.2,89.0,6.8,65.5,-10.2,455
"1809-Mesquite-Ln,-Anna,-TX-75409","1809 Mesquite Ln, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2942.0,6011,2015.0,380000.0,27.0,129.16,0.4894,1.0,0.0,0.0,97.8,56.7,6.8,65.2,-26.1,455
"2032-Athabasca-Falls-Dr,-Anna,-TX-75409","2032 Athabasca Falls Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1850.0,6098,2005.0,275000.0,62.0,148.65,0.3034,1.0,0.0,0.0,84.8,73.0,6.8,65.1,-14.9,455
"1909-Wolf-Run,-Anna,-TX-75409","1909 Wolf Run, Anna, TX 75409",75409,Single Family,Standard,3,2,1819.0,7405,2020.0,279900.0,90.0,153.88,0.2456,1.0,0.0,0.0,77.1,81.5,6.8,64.6,-11.9,455
"1324-Elijah-Dr,-Anna,-TX-75409","1324 Elijah Dr, Anna, TX 75409",75409,Single Family,Standard,4,3,3306.0,6011,2024.0,499000.0,78.0,150.94,0.55,1.0,0.0,0.0,80.7,76.7,6.8,64.5,-13.6,455
"3104-Lake-Village-Dr,-Anna,-TX-75409","3104 Lake Village Dr, Anna, TX 75409",75409,Single Family,Standard,5,3.5,3360.0,5663,2024.0,475000.0,39.0,141.37,0.5933,1.0,0.0,0.0,92.3,61.8,6.8,64.5,-19.1,455
"932-Cottonwood-Trl,-Anna,-TX-75409","932 Cottonwood Trl, Anna, TX 75409",75409,Single Family,Standard,3,2.5,2207.0,8712,2008.0,299900.0,26.0,135.89,0.2533,1.0,0.0,0.0,96.7,55.4,6.8,64.3,-22.2,455
"2124-Chloe-Ln,-Anna,-TX-75409","2124 Chloe Ln, Anna, TX 75409",75409,Single Family,New Construction,3,2.5,1841.0,,0.0,299990.0,14.0,162.95,,2.0,-20.0,1.0,64.6,43.1,98.5,63.8,-6.7,455
"1144-Sheldon-Dr,-Anna,-TX-75409","1144 Sheldon Dr, Anna, TX 75409",75409,Single Family,Standard,4,2,2134.0,6665,2020.0,339990.0,119.0,159.32,0.3202,1.0,0.0,0.0,70.3,87.9,6.8,63.8,-8.8,455
"2028-Ozark-Hill-Ln,-Anna,-TX-75409","2028 Ozark Hill Ln, Anna, TX 75409",75409,Single Family,New Construction,4,3,2970.0,6499,2026.0,389900.0,20.0,131.28,0.457,1.0,0.0,0.0,97.6,52.5,6.8,63.7,-24.9,455
"2715-Weston-Way,-Anna,-TX-75409","2715 Weston Way, Anna, TX 75409",75409,Single Family,New Construction,4,,2600.0,,0.0,344990.0,5.0,132.69,,18.0,-11.54,10.0,97.4,3.1,93.6,63.6,-24.1,455
"3005-Parker-Rd,-Anna,-TX-75409","3005 Parker Rd, Anna, TX 75409",75409,Single Family,Standard,4,2,1656.0,6011,2019.0,279900.0,34.0,169.02,0.2755,4.0,-3.45,3.0,57.6,60.0,81.3,63.2,-3.3,455
