id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"702-Buttermilk-Dr,-Arlington,-TX-76006","702 Buttermilk Dr, Arlington, TX 76006",76006,Single Family,Standard,5,4.5,4412,12023,1994,810000,43,183.59,0.367,1,0.0,0
"200-Caprock-Dr,-Arlington,-TX-76018","200 Caprock Dr, Arlington, TX 76018",76018,Single Family,Standard,3,2,1432,5009,1986,295000,42,206.01,0.2859,1,0.0,0
"2304-Wakeforest-Ct,-Arlington,-TX-76012","2304 Wakeforest Ct, Arlington, TX 76012",76012,Single Family,Standard,4,4,3629,7536,1976,679000,42,187.1,0.4816,2,-0.8,1
"1200-Riverchase-Ln,-Unit-125,-Arlington,-TX-76011","1200 Riverchase Ln, Unit 125, Arlington, TX 76011",76011,Condo,Standard,2,1.5,939,2526,1983,159000,41,169.33,0.3717,2,-6.47,1
"5002-Bayberry-Dr,-Arlington,-TX-76017","5002 Bayberry Dr, Arlington, TX 76017",76017,Single Family,Standard,3,2,1775,6011,2002,299900,41,168.96,0.2953,1,0.0,0
"1206-Waggoner-Dr,-Arlington,-TX-76013","1206 Waggoner Dr, Arlington, TX 76013",76013,Single Family,Standard,3,2,1575,9714,1959,270000,42,171.43,0.1621,1,0.0,0
"1018-Auburn-Dr,-Arlington,-TX-76012","1018 Auburn Dr, Arlington, TX 76012",76012,Single Family,Standard,3,2,2389,9104,1977,390000,42,163.25,0.2624,1,0.0,0
"4407-Garnet-Jade-Dr,-Arlington,-TX-76005","4407 Garnet Jade Dr, Arlington, TX 76005",76005,Single Family,Standard,4,3.5,2884,6142,2018,670000,41,232.32,0.4696,1,0.0,0
"7611-Awadi-Ct,-Arlington,-TX-76001","7611 Awadi Ct, Arlington, TX 76001",76001,Single Family,Standard,4,4.5,3774,15115,2023,880000,41,233.17,0.2497,2,-2.0,1
"4703-Enchanted-Bay-Blvd,-Arlington,-TX-76016","4703 Enchanted Bay Blvd, Arlington, TX 76016",76016,Single Family,Standard,5,3.5,3765,7928,2000,545000,41,144.75,0.4749,5,-13.49,4
