id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"16005-Crosslake-Ct,-Prosper,-TX-75078","16005 Crosslake Ct, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,2234.0,6578,2014.0,439900.0,104.0,196.91,0.3396,1.0,0.0,0.0,89.0,82.7,6.8,70.3,-23.5,473
"1310-St--Peter-Ln,-Prosper,-TX-75078","1310 St. Peter Ln, Prosper, TX 75078",75078,Single Family,New Construction,5,,3896.0,,0.0,885950.0,51.0,227.4,,12.0,-7.03,6.0,72.7,57.9,86.7,70.3,-11.7,473
"3711-Rosemont-Dr,-Prosper,-TX-75078","3711 Rosemont Dr, Prosper, TX 75078",75078,Townhouse,Standard,3,2.5,1815.0,3354,2022.0,399000.0,176.0,219.83,0.5411,1.0,0.0,0.0,77.6,97.0,6.8,70.2,-14.6,473
"131-Darian-Dr,-Prosper,-TX-75078","131 Darian Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,3750.0,10280,2016.0,739000.0,104.0,197.07,0.3648,1.0,0.0,0.0,88.8,82.7,6.8,70.2,-23.5,473
"2890-Quinton-St,-Prosper,-TX-75078","2890 Quinton St, Prosper, TX 75078",75078,Single Family,Standard,5,3,3081.0,9409,2021.0,649000.0,131.0,210.65,0.3275,1.0,0.0,0.0,83.1,89.9,6.8,70.2,-18.2,473
"16512-Amistad-Ave,-Prosper,-TX-75078","16512 Amistad Ave, Prosper, TX 75078",75078,Single Family,Standard,4,3,2885.0,5663,2015.0,539900.0,88.0,187.14,0.5094,1.0,0.0,0.0,93.9,75.7,6.8,70.1,-27.3,473
"881-Sibyl-Ln,-Prosper,-TX-75078","881 Sibyl Ln, Prosper, TX 75078",75078,Single Family,Standard,4,2,2356.0,22738,2004.0,499000.0,138.0,211.8,0.1036,1.0,0.0,0.0,81.8,91.1,6.8,70.1,-17.7,473
"1611-Chisholm-Trl,-Prosper,-TX-75078","1611 Chisholm Trl, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,4640.0,14854,2015.0,899000.0,29.0,193.75,0.3124,3.0,-8.16,2.0,90.7,32.3,88.6,69.9,-24.8,473
"1120-Golden-Sunset-Ct,-Prosper,-TX-75078","1120 Golden Sunset Ct, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3009.0,10454,2008.0,650000.0,41.0,216.02,0.2878,4.0,-12.69,2.0,79.1,43.6,94.3,69.7,-16.1,473
"4513-Lamplights-Dr,-Prosper,-TX-75078","4513 Lamplights Dr, Prosper, TX 75078",75078,Single Family,New Construction,3,2.5,2074.0,,0.0,378990.0,26.0,182.73,,2.0,-5.96,1.0,95.3,27.3,84.1,69.3,-29.0,473
"1030-Gentle-Knoll-Ln,-Prosper,-TX-75078","1030 Gentle Knoll Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4,3561.0,6970,2020.0,750000.0,117.0,210.61,0.5109,1.0,0.0,0.0,83.3,86.5,6.8,69.1,-18.2,473
"381-Komron-Ct,-Prosper,-TX-75078","381 Komron Ct, Prosper, TX 75078",75078,Single Family,Standard,4,3,3084.0,10193,2012.0,650000.0,118.0,210.77,0.3026,1.0,0.0,0.0,82.9,87.1,6.8,69.1,-18.1,473
"1300-Brittany-Way,-Prosper,-TX-75078","1300 Brittany Way, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3612.0,11456,2013.0,897990.0,95.0,248.61,0.3153,2.0,-2.92,1.0,57.3,79.1,77.6,69.0,-3.4,473
"1631-Sunset-Ave,-Prosper,-TX-75078","1631 Sunset Ave, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,3671.0,8276,2021.0,850000.0,54.0,231.54,0.4436,2.0,-5.56,1.0,70.2,59.2,83.1,68.9,-10.1,473
